request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_193,31.27,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,33879.67,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 23 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,963.37,not_affordable,not_recommended,none,2026-02-15,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. This leaves at least EUR 500 available over the next 90 days.
request_197,20191636.51,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50.939.000 request. Although IDR 20.191.637 is available today, the full amount cannot be completed safely within 90 days."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8.206.987, starting 7 September 2024. This leaves at least IDR 25.359.500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21.717.000 today. This leaves at least IDR 20.114.600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23.997.000 today. This leaves at least IDR 17.304.500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,568.55,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10.621.000 today. This leaves at least IDR 13.994.300 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4189.67,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,2993897.91,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Pay IDR 4.413.000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10.470.700 minimum.
request_209,1570.47,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,570.47 is available today, the full amount cannot be completed safely within 90 days."
request_210,991.13,affordable_with_plan,partial_payment,2026-04-06:991.13|2026-04-15:368.89,2026-04-15,none,"Pay USD 991.13 today and the remaining USD 368.89 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,272.86,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"Pay EUR 1,788.6 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,5539520.95,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71.934.000 request. Although IDR 5.539.521 is available today, the full amount cannot be completed safely within 90 days."
request_213,2180.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,362.4 request. Although USD 2,180.8 is available today, the full amount cannot be completed safely within 90 days."
request_214,51904.95,affordable_with_plan,partial_payment,2024-12-04:51904.95|2024-12-15:17845.05,2024-12-15,none,"Pay INR 51,904.95 today and the remaining INR 17,845.05 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,27912.38,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 29,986 request. Although ZAR 27,912.38 is available today, the full amount cannot be completed safely within 90 days."
request_216,467.02,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,332.4 request. Although USD 467.02 is available today, the full amount cannot be completed safely within 90 days."
request_217,19333.77,not_affordable,not_recommended,none,2024-05-15,none,"Do not make this payment by 21 May 2024. None of the available options keeps the ZAR 26,800 minimum protected."
request_218,24512439.25,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21.195.893, starting 7 August 2025. This leaves at least IDR 34.477.200 available."
request_219,697.52,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,68.98,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.5 request. Although EUR 68.98 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. This leaves at least EUR 800 available over the next 90 days.
request_224,9884868.93,affordable_with_plan,partial_payment,2025-02-04:9884868.93|2025-02-15:442131.07,2025-02-15,none,Pay IDR 9.884.869 today and the remaining IDR 442.131 on 15 February 2025. This completes the full request and keeps the IDR 22.187.600 minimum protected.
request_225,9489876.56,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7.647.120, starting 20 July 2026. This leaves at least IDR 17.670.700 available."
request_226,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2025. None of the available options keeps the INR 209,400 minimum protected."
request_227,7183.96,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 7,183.96 is available today, the full amount cannot be completed safely within 90 days."
request_228,1656800.89,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63.327.000 request. Although IDR 1.656.801 is available today, the full amount cannot be completed safely within 90 days."
request_229,429.09,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 October 2025. None of the available options keeps the EUR 2,000 minimum protected."
request_231,31730.73,not_affordable,not_recommended,none,2026-02-15,none,"Do not make this payment by 17 March 2026. None of the available options keeps the ZAR 24,300 minimum protected."
request_232,586,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,970.1 request. Although EUR 586 is available today, the full amount cannot be completed safely within 90 days."
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10.365.700 minimum protected.
request_234,179.66,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"Pay EUR 1,213.3 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 700 available over the next 90 days.
request_236,6091310.8,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52.383.000 request. Although IDR 6.091.311 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23.826.000 today. This leaves at least IDR 22.431.500 available over the next 90 days.
request_238,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 February 2025. None of the available options keeps the USD 700 minimum protected.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13949.09,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200 request. Although INR 13,949.09 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7.298.027, starting 17 March 2024. This leaves at least IDR 19.252.000 available."
request_242,22.92,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.8 request. Although EUR 22.92 is available today, the full amount cannot be completed safely within 90 days."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,25193.87,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.3 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,126.5,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.2 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,15480.52,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 15,480.52 is available today, the full amount cannot be completed safely within 90 days."
request_251,703.61,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.6 request. Although EUR 703.61 is available today, the full amount cannot be completed safely within 90 days."
request_252,3778044.19,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Pay IDR 28.082.000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15.152.200 minimum.
request_253,1372.84,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Use 3 installments of EUR 984.6, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,636.46,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Pay USD 3,535.2 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,780968.79,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 3.345.000 request. Although IDR 780.969 is available today, the full amount cannot be completed safely within 90 days."
request_256,151919.48,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,297.49,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,352.4 request. Although USD 297.49 is available today, the full amount cannot be completed safely within 90 days."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.6 today. This leaves at least USD 500 available over the next 90 days."
request_259,214.47,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,6173102.27,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52.079.000 request. Although IDR 6.173.102 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.4 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 January 2025. None of the available options keeps the IDR 31.018.500 minimum protected.
request_263,5678.76,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 5,678.76 is available today, the full amount cannot be completed safely within 90 days."
request_264,23023.84,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,779.45,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1653.02,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1,500 available."
request_268,1046.91,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,10142.47,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Pay ZAR 15,490 in full on 15 November 2025. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,114.19,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.8 request. Although USD 114.19 is available today, the full amount cannot be completed safely within 90 days."
request_271,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,5441071.26,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4.709.467, starting 12 February 2025. This leaves at least IDR 7.508.600 available."
request_273,9545531.06,affordable_with_plan,partial_payment,2026-04-07:9545531.06|2026-04-15:6315468.94,2026-04-15,none,Pay IDR 9.545.531 today and the remaining IDR 6.315.469 on 15 April 2026. This completes the full request and keeps the IDR 18.774.600 minimum protected.
request_274,2154.3,not_affordable,not_recommended,none,2025-01-15,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15.884.000 today. This leaves at least IDR 12.760.100 available over the next 90 days.
